Action,Description
is.workflow.actions.file.select,Select File
is.workflow.actions.file.move,Move File
is.workflow.actions.file.rename,Rename File
is.workflow.actions.documentpicker.save,Save File
is.workflow.actions.file.delete,Delete Files
is.workflow.actions.file.getlink,Get Link to File
is.workflow.actions.file.createfolder,Create Folder
is.workflow.actions.file.getfoldercontents,Get Contents of Folder
is.workflow.actions.openin,Open File
is.workflow.actions.file.append,Append to Text File
is.workflow.actions.makezip,Make Archive
is.workflow.actions.unzip,Extract Archive
is.workflow.actions.documentpicker.open,Get File from Folder
is.workflow.actions.properties.files,Get Details of File
is.workflow.actions.filter.files,Filter Files
is.workflow.actions.gethtmlfromrichtext,Make HTML from Rich Text
is.workflow.actions.getmarkdownfromrichtext,Make Markdown from Rich Text
is.workflow.actions.getrichtextfrommarkdown,Make Rich Text from Markdown
is.workflow.actions.getrichtextfromhtml,Make Rich Text from HTML
is.workflow.actions.searchweb,Search Web
is.workflow.actions.openurl,Open URLs
is.workflow.actions.giphy,Find Giphy GIFs
is.workflow.actions.showwebpage,Show Web View
is.workflow.actions.readinglist,Add to Reading List
is.workflow.actions.rss,Get Items from RSS Feed
is.workflow.actions.rss.extract,Get RSS Feed from Page
is.workflow.actions.filter.articles,Filter Articles
is.workflow.actions.properties.articles,Get Details of Article
is.workflow.actions.url,URL
is.workflow.actions.detect.link,Get URLs from Input
is.workflow.actions.geturlcomponent,Get Component of URL
is.workflow.actions.url.expand,Expand URL
is.workflow.actions.downloadurl,Get Contents of URL
is.workflow.actions.url.getheaders,Get Headers of URL
is.workflow.actions.getwebpagecontents,Get Contents of Web Page
is.workflow.actions.properties.safariwebpage,Get Details of Safari Web Page
is.workflow.actions.runjavascriptonwebpage,Run JavaScript on Active Safari Tab
is.workflow.actions.filter.images,Filter Images
is.workflow.actions.properties.images,Get Details of Image
is.workflow.actions.detect.images,Get Images from Input
is.workflow.actions.makeimagefromrichtext,Make Image from Rich Text
is.workflow.actions.makeimagefrompdfpage,Make Image from PDF Page
is.workflow.actions.extracttextfromimage,Extract Text from Image
is.workflow.actions.image.combine,Combine Images
is.workflow.actions.image.crop,Crop Image
is.workflow.actions.image.flip,Flip Image
is.workflow.actions.image.mask,Mask Image
is.workflow.actions.overlayimageonimage,Overlay Image
is.workflow.actions.overlaytext,Overlay Text
is.workflow.actions.image.rotate,Rotate Image/Video
is.workflow.actions.image.removebackground,Remove Image Background
is.workflow.actions.makegif,Make GIF
is.workflow.actions.makevideofromgif,Make Video from GIF
is.workflow.actions.addframetogif,Add Frame to GIF
is.workflow.actions.getframesfromimage,Get Frames from Image
is.workflow.actions.selectphoto,Select Photos
is.workflow.actions.filter.photos,Find Photos
is.workflow.actions.getlastvideo,Get Latest Videos
is.workflow.actions.getlastscreenshot,Get Latest Screenshots
is.workflow.actions.getlatestbursts,Get Latest Bursts
is.workflow.actions.getlatestlivephotos,Get Latest Live Photos
is.workflow.actions.getlatestphotoimport,Get Last Import
is.workflow.actions.removefromalbum,Remove from Photo Album
is.workflow.actions.deletephotos,Delete Photos
is.workflow.actions.savetocameraroll,Save to Photo Album
is.workflow.actions.encodemedia,Encode Media
is.workflow.actions.trimvideo,Trim Media
is.workflow.actions.setvolume,Set Volume
is.workflow.actions.pausemusic,Play/Pause
is.workflow.actions.seek,Seek
is.workflow.actions.skipback,Skip Back
is.workflow.actions.skipforward,Skip Forward
is.workflow.actions.listeningmode.set,Set Noise Control Mode
is.workflow.actions.handoffplayback,Handoff Playback
is.workflow.actions.setplaybackdestination,Change Playback Destination
is.workflow.actions.exportsong,Select Music
is.workflow.actions.filter.music,Find Music
is.workflow.actions.addmusictoupnext,Add to Playing Next
is.workflow.actions.clearupnext,Clear Playing Next
is.workflow.actions.getcurrentsong,Get Current Song
is.workflow.actions.properties.music,Get Details of Music
is.workflow.actions.addtoplaylist,Add to Playlist
is.workflow.actions.createplaylist,Create Playlist
is.workflow.actions.get.playlist,Get Playlist
is.workflow.actions.searchpodcasts,Find Podcasts
is.workflow.actions.podcasts.subscribe,Follow Podcast
is.workflow.actions.playpodcast,Play Podcast
is.workflow.actions.getepisodesforpodcast,Get Episodes of Podcast
is.workflow.actions.getpodcastsfromlibrary,Get Podcasts from Library
is.workflow.actions.properties.podcastshow,Get Details of Podcast
is.workflow.actions.properties.podcast,Get Details of Podcast Episode
is.workflow.actions.searchappstore,Find Apple Store Apps
is.workflow.actions.properties.appstore,Get Details of Apple Store App
is.workflow.actions.filter.health.quantity,Find Health Samples
is.workflow.actions.health.quantity.log,Log Health Sample
is.workflow.actions.health.workout.log,Log Workout
is.workflow.actions.properties.health.quantity,Get Details of Health Sample
is.workflow.actions.addnewcalendar,Add New Calendar
is.workflow.actions.addnewevent,Add New Event
is.workflow.actions.setters.calendarevents,Edit Calendar Event
is.workflow.actions.filter.eventattendees,Filter Event Attendees
is.workflow.actions.properties.calendarevents,Get Details of Calendar Events
is.workflow.actions.properties.eventattendees,Get Details of Event Attendees
is.workflow.actions.getupcomingevents,Get Upcoming Events
is.workflow.actions.showincalendar,Open in Calendar
is.workflow.actions.removeevents,Remove Events
com.apple.mobilecal.SetCalendarFocusConfiguration,Set Calendar Focus Filter
is.workflow.actions.filter.calendarevents,Find Calendar Events
com.apple.mobiletimer-framework.MobileTimerIntents.MTGetAlarmsIntent,Find Alarms
com.apple.mobiletimer.EditSleepAlarmIntent,Edit Sleep Alarm
com.apple.mobiletimer-framework.MobileTimerIntents.MTToggleAlarmIntent,Toggle Alarm
com.apple.mobiletimer.LapStopwatchIntent,Lap Stopwatch
com.apple.mobiletimer.ResetStopwatchIntent,Reset Stopwatch
com.apple.mobiletimer.StartStopwatchIntent,Start Stopwatch
com.apple.mobiletimer.StopStopwatchIntent,Stop Stopwatch
com.apple.mobiletimer.OpenTab,Open Tab
com.apple.mobiletimer.CancelTimerIntent,Cancel Timer
com.apple.mobiletimer.GetCurrentTimerDetailsIntent,Get Current Timer
com.apple.mobiletimer.PauseTimerIntent,Pause Timer
com.apple.mobiletimer.ResumeTimerIntent,Resume Timer
is.workflow.actions.timer.start,Start Timer
com.apple.facetime.facetime,FaceTime
is.workflow.actions.homeaccessory,Control Home
is.workflow.actions.gethomeaccessorystate,Get State of Home
is.workflow.actions.intercom,Intercom
is.workflow.actions.email,Email Address
is.workflow.actions.detect.emailaddress,Get Email Address from Input
com.apple.mobilemail.OpenMailboxEntityAction,Open Mailbox
com.apple.mobilemail.SearchMessagesAction,Search in Mail
is.workflow.actions.selectemail,Select Email Address
com.apple.mobilemail.MailFocusConfigurationAction,Set Mail Focus Filter
is.workflow.actions.useractivity.open,Open User Activity
is.workflow.actions.appendnote,Append to Note
com.apple.mobilenotes.SharingExtension,Create Note
com.apple.mobilenotes.DeleteNotesLinkAction,Delete Notes
is.workflow.actions.filter.notes,Find Notes
is.workflow.actions.shownote,Open Note
com.apple.mobilenotes.PinNotesLinkAction,Pin Notes
com.apple.mobilenotes.ICNotesFolderIntent,Show Notes Folder
com.apple.mobilenotes.ShowQuickNoteIntent,Show Quick Note
com.apple.mobilenotes.OpenAccountLinkAction,Open Account
com.apple.mobilenotes.ChangeSettingLinkAction,Change Notes Setting
com.apple.mobilenotes.OpenAppLocationLinkAction,Open Notes View
com.apple.mobilenotes.CreateFolderLinkAction,Create Folder
com.apple.mobilenotes.DeleteFoldersLinkAction,Delete Folders
com.apple.mobilenotes.MoveNotesToFolderLinkAction,Move Notes to Folder
com.apple.mobilenotes.AddTagsToNotesLinkAction,Add Tags to Notes
com.apple.mobilenotes.DeleteTagsLinkAction,Delete Tags
com.apple.mobilenotes.CreateTagLinkAction,Create Tag
com.apple.mobilenotes.OpenTagLinkAction,Open Tag
com.apple.mobilenotes.RemoveTagsFromNotesLinkAction,Remove Tags from Notes
is.workflow.actions.weather.currentconditions,Get Current Weather
is.workflow.actions.weather.forecast,Get Weather Forecast
is.workflow.actions.properties.weather.conditions,Get Details of Weather Conditions
com.apple.weather.OpenNotificationsConfigurationIntent,Open Notifications Configuration
com.apple.weather.WeatherIntent,Show Weather
com.apple.Passbook.OpenPassIntent,Open Card
is.workflow.actions.openpasswords,Show Passwords
is.workflow.actions.venmo.request,Request Money
is.workflow.actions.venmo.pay,Send Payment
com.apple.ShortcutsActions.SetDataRoamingAction,Set Data Roaming
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleLEDFlashIntent,Set LED Flash
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleClassicInvertIntent,Set Classic Invert
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleColorFiltersIntent,Set Color Filters
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleContrastIntent,Set Increase Contrast
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleSmartInvertIntent,Set Smart Invert
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetLargeTextIntent,Set Text Size
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAutoAnswerCallsIntent,Auto-Answer Calls
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetBackgroundSoundIntent,Change Background Sounds
com.apple.Preferences.DeveloperSettingsDeepLink,Find Developer Settings
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartMagnifierIntent,Open Magnifier
com.apple.Preferences.OpenSoundsAndHapticsDeepLinks,Open Sounds & Haptics Settings
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAssistiveTouchIntent,Set AssistiveTouch
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAudioDescriptionsIntent,Set Audio Descriptions
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetBackgroundSoundVolumeIntent,Set Background Sound Volume
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetLeftRightBalanceIntent,Set Left/Right Audio Balance
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleCaptionsIntent,Set Closed Captions+SDH
is.workflow.actions.comment,Comment
is.workflow.actions.format.number,Format Number
is.workflow.actions.detect.number,Get Number from Input
is.workflow.actions.math,Calculate
is.workflow.actions.calculateexpression,Calculate Expression
com.apple.mobilephone.call,Call
net.whatsapp.WhatsApp.send,Send WhatsApp Message
net.whatsapp.WhatsApp.openin,Send Photo via WhatsApp
is.workflow.actions.addnewreminder,Add New Reminder
com.apple.reminders.TTRCreateListAppIntent,Create Reminder List
is.workflow.actions.setters.reminders,Edit Reminder
is.workflow.actions.filter.reminders,Find Reminders
is.workflow.actions.properties.reminders,Get Details of Reminder
is.workflow.actions.getupcomingreminders,Get Upcoming Reminders
is.workflow.actions.reminders.showlist,Open Reminders List
com.apple.reminders.TTROpenSmartListAppIntent,Open Smart List
is.workflow.actions.removereminders,Remove Reminders
com.apple.reminders.TTRSearchRemindersAppIntent,Search Reminders
com.alexhay.ToolboxProForShortcuts.CreateMatteIntent,External App Actions
com.alexhay.ToolboxProForShortcuts.AverageColourIntent,External App Actions
com.apple.VoiceMemos.RecordVoiceMemoIntent,Create Recoding
is.workflow.actions.sirikit.donation.handle,Create Recording
com.apple.VoiceMemos.PlaybackVoiceMemoIntent,Play Recording
com.apple.VoiceMemos.ChangeRecordingPlaybackSetting,Change Recording Playback Setting
com.apple.VoiceMemos.SelectRecording,Select Recording
com.apple.VoiceMemos.StopRecording,Stop Recording
com.apple.VoiceMemos.DeleteRecording,Delete Recording
is.workflow.actions.selectcontacts,Select Contact
is.workflow.actions.selectphone,Select Phone Number
is.workflow.actions.contacts,Contacts
is.workflow.actions.filter.contacts,Find Contacts
is.workflow.actions.detect.phonenumber,Get Phone Number from Input
com.burbn.instagram.openin,Post on Instagram
is.workflow.actions.tweet,Tweet
com.google.chrome.ios.OpenInChromeIntent,Open URLs in Chrome
is.workflow.actions.runshellscript,Run Shell Script
is.workflow.actions.shazamMedia,Recognize Music
com.apple.TVRemoteUIService.LaunchApplicationIntent,Open TV App
com.apple.TVRemoteUIService.LaunchRemoteIntent,Open Remote Control TV
is.workflow.actions.alarm.create,Create Alarm
is.workflow.actions.alarm.toggle,Toggle Alarm
com.openai.chat.AskIntent,Ask ChatGPT
is.workflow.actions.detect.contacts,Get Contacts from Input
is.workflow.actions.getarticle,Get Article
com.rivian.ios.consumer.OpenFrunkIntent,Open Frunk
com.apple.mobilesafari.CloseTab,Close Safari Tab
com.apple.TVRemoteUIService.WakeAppleTVIntent,Wake Apple TV
com.apple.TVRemoteUIService.SleepAppleTVIntent,Sleep Apple TV
com.rivian.ios.consumer.CloseFrunkIntent,Close Frunk
is.workflow.actions.openworkflow,Open Shortcut
is.workflow.actions.photos.createalbum,Create Album
is.workflow.actions.gettypeaction,Get Item Type
com.sindresorhus.Actions.IsReachableIntent,Check Connection
com.google.chrome.ios.openurl,Open URL in Chrome
com.alexhay.ToolboxProForShortcuts.CropIntent,Crop
dk.simonbs.Scriptable.RunScriptInlineIntent,Run Script
is.workflow.actions.properties.contacts,Get Details of Contact
is.workflow.actions.pocket.add,Add to Pocket
is.workflow.actions.folder,Folder
is.workflow.actions.phonenumber,Phone Number
is.workflow.actions.postonfacebook,Post on Facebook
is.workflow.actions.imgur.upload,Upload to Imgur
com.microsoft.msedge.OpenInChromeIntent,Open in Chrome
com.apple.Pages.TSADocumentOpenIntent,Open Pages Document
com.apple.TVRemoteUIService.PauseContentIntent,Pause Content on TV
com.apple.TVRemoteUIService.SkipContentIntent,Skip Content on TV
com.apple.TVRemoteUIService.LaunchScreenSaverIntent,Launch Screen Saver on TV
com.apple.TVRemoteUIService.SwitchUserAccountIntent,Switch User Account on TV
com.apple.TVRemoteUIService.ToggleSystemAppearanceIntent,Toggle System Appearance on TV
com.apple.TVRemoteUIService.ToggleCaptionsIntent,Toggle Captions on TV
com.apple.TVRemoteUIService.ReduceLoudSoundsIntent,Reduce Loud Sounds on TV
is.workflow.actions.searchitunes,Find iTunes Store Items
is.workflow.actions.properties.itunesstore,Get Details of iTunes Store Item
is.workflow.actions.showinstore,Show in iTunes Store
com.apple.shortcuts.SearchShortcutsAction,Search in Shortcuts
com.alexhay.ToolboxProForShortcuts.TrimTextIntent,Trim Text
com.alexhay.ToolboxProForShortcuts.InternetConnectionIntent,Check Internet Connection
com.alexhay.ToolboxProForShortcuts.IsVPNConnectedIntent,Check VPN Connection
com.alexhay.ToolboxProForShortcuts.DeviceStorageIntent,Get Device Storage
com.alexhay.ToolboxProForShortcuts.CheckIfInstalledIntent,Check if App Installed
com.alexhay.ToolboxProForShortcuts.SortListIntent,Sort List
com.alexhay.ToolboxProForShortcuts.ViewMapIntent,View Map
com.alexhay.ToolboxProForShortcuts.DeviceDetailsIntent,Get Device Details
com.alexhay.ToolboxProForShortcuts.PerformCalculationIntent,Calculate
com.alexhay.ToolboxProForShortcuts.DeviceLanguageIntent,Get Device Language
com.alexhay.ToolboxProForShortcuts.BatteryStatusIntent,Get Battery Status
com.alexhay.ToolboxProForShortcuts.QuickLookExtendedIntent,Quick Look
com.apple.shortcuts.DeleteWorkflowAction,Delete Shortcut
com.apple.shortcuts.CreateWorkflowAction,Create Shortcut
is.workflow.actions.evernote.get,Get EverNote
is.workflow.actions.evernote.delete,Delete EverNote
is.workflow.actions.evernote.append,Append to EverNote
com.winterowls.Night-Shift.RandomWallpaperIntent,Random Wallpaper
com.apple.ShortcutsActions.SetSilentModeAction,Set Silent Mode
com.apple.musicrecognition.RecognizeMusicIntent,Recognize Music
com.brave.ios.browser.OpenWebsiteIntent,Open Website in Brave
com.google.GoogleMobile.GoogleForQueryIntent,Search Google for
is.workflow.actions.dismisssiri,Dismiss Siri and Continue
net.shinyfrog.bear-IOS.create,Create Note on Shinyfrog
is.workflow.actions.runapplescript,Run AppleScript
com.apple.DocumentsApp.SearchFile,Search in Files
com.apple.mobilesafari.TabEntity,Find Tabs
com.sindresorhus.Actions.IsOnlineIntent,Is Online
com.sindresorhus.Actions.Authenticate,Is Web Server Reachable
com.sindresorhus.Actions.RemoveNonPrintableCharactersIntent,Remove Non-Printable Characters
com.sindresorhus.Actions.RemoveEmojiIntent,Remove Emoji
com.sindresorhus.Actions.TransformTextIntent,Transform Text
is.workflow.actions.workout.start,Start Workout
is.workflow.actions.stocks.quote,Get Stock Price
com.tijo.opener.Opener.show-options,Open URL in Opener
com.apple.iBooks.BookAppEntity,Open Book
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleZoomIntent,Set Zoom
com.tapbots.Tweetbot.tweet,Tweet with Tweetbot
com.culturedcode.ThingsTouch.addtask,Add ToDo on Things 3
com.sindresorhus.Actions.IsShakingDeviceIntent,Is Shaking Device
dk.simonbs.DataJar.GetValueIntent,Get DataJar Value
dk.simonbs.DataJar.SetValueIntent,Set DataJar Value
com.sindresorhus.Actions.IsCellularDataOn,Is Cellular Data On
com.sindresorhus.Actions.IsBluetoothOnIntent,Is Bluetooth On
com.sindresorhus.Actions.IsConnectedToVPNIntent,Is Connected to VPN
com.sindresorhus.Actions.IsLowPowerModeIntent,Is Low Power Mode On
com.sindresorhus.Actions.IsSilentModeOnIntent,Is Silent Mode On
com.sindresorhus.Actions.IsDarkModeIntent,Is Dark Mode On
com.sindresorhus.Actions.GetDeviceOrientationIntent,Get Device Orientation
com.sindresorhus.Actions.GetActionsVersion,Get Actions Version
com.sindresorhus.Actions.GetBatteryStateIntent,Get Battery State
com.sindresorhus.Actions.GetDeviceDetailsExtended,Get Device Details Extended
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleSoundDetectionIntent,Set Sound Detection
com.apple.news.TagIntent,Open News
com.omnigroup.OmniFocus2.iPhone.pastetaskpaper,Add TaskPaper to OmniFocus
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartGuidedAccessIntent,Start Guided Access
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleVoiceControlIntent,Set Voice Control
com.apple.shortcuts.ResetCellularDataStatisticsAction,Reset Cellular Data Statistics
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleLiveCaptionsIntent,Set Live Captions
is.workflow.actions.pocket.get,Get Item from Pocket
com.6X.LockLauncher.RefreshActivityIntent,Refresh Activity
com.adguard.ios.AdGuardVPN.VpnStateIntent,Get VPN State
dk.simonbs.DataJar.CheckIfValueExistsIntent,Check If Value Exists
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleMonoAudioIntent,Set Mono Audio
is.workflow.actions.announcenotifications.set,Set Announce Notifications
com.apple.NanoSettings.NPRFPingMyPhoneIntent,Ping My Phone with lights on Watch
com.apple.NanoSettings.NPRFSetFlashLightIntent,Set Flashlight on Watch
com.apple.NanoSettings.NPRFSetTheaterModeIntent,Set Theater Mode on Watch
com.apple.NanoSettings.NPRFSetWaterLockIntent,Set Water Lock on Watch
com.apple.NanoSettings.NPRFSetSchoolTimeIntent,Set School Time on Watch
com.todoist.ios.CreateTaskIntent,Create Task on Todoist
com.leomehlig.today.AddTaskIntent,Add Task on Today
com.rivian.ios.consumer.CloseLiftgateIntent,Close Liftgate
com.phocusllp.due.add,Add Reminder on Due
io.pushcut.Pushcut.RunShortcutIntent,Run Shortcut on Pushcut
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleVoiceOverIntent,Set VoiceOver
com.rivian.ios.consumer.UnlockDoorsIntent,Unlock Doors
com.microsoft.bing.OpenSydneyIntent,Open Sydney on Bing
is.workflow.actions.runscene,Run Home Scene
com.sindresorhus.Actions.BlurImages,Blur Images
com.alexhay.ToolboxProForShortcuts.AuthenticateIntent,Authenticate
is.workflow.actions.trello.add.card,Add Card on Trello
is.workflow.actions.personalhotspot.password.set,Set Hotspot Password
com.apple.iBooks.openin,Open in iBooks
is.workflow.actions.dropbox.open,Open in Dropbox
is.workflow.actions.addnewcontact,Add New Contact
is.workflow.actions.setters.contacts,Edit Contact
com.rivian.ios.consumer.LockDoorsIntent,Lock Doors
com.apple.ShortcutsActions.OpenCameraAction,Open Camera Mode
is.workflow.actions.trello.get,Get Trello
is.workflow.actions.properties.trello,Get Details of Trello
com.sindresorhus.Actions.GetAudioPlaybackDestinationIntent,Get Audio Playback Destination
com.sindresorhus.Actions.GetAverageColorOfImage,Get Average Color of Image
com.sindresorhus.Actions.CreateColorImageIntent,Create Color Image
company.thebrowser.ArcMobile2.SearchIntent,Search in Arc Mobile
com.apple.Keynote.KNDocumentPlayIntent,Play Keynote
com.alexhay.ToolboxProForShortcuts.GetWorkoutsIntent,Get Workouts
com.rivian.ios.consumer.OpenLiftgateIntent,Open Liftgate
is.workflow.actions.todoist.add,Add Todoist Item
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleBackgroundSoundsIntent,Set Background Sounds
com.sindresorhus.Actions.IsShakingDevice,Is Shaking Device
is.workflow.actions.text.trimwhitespace,Trim Whitespace
com.apple.ShortcutsActions.SetVoiceDataModeAction,Set Voice Data Mode
com.apple.ShortcutsActions.ToggleCellularPlanAction,Toggle Cellular Plan
com.alexhay.ToolboxProForShortcuts.GlobalVariablesIntent,Global Variables
com.sindresorhus.Actions.IsDeviceLocked,Is Device Locked
com.sindresorhus.Actions.WriteTextIntent,Write Text
com.apple.shortcuts.OpenWorkflowAction,Open Shortcut
AsheKube.app.a-Shell.ExecuteCommandIntent,Execute Command in a-Shell
